"Channel","Contribution","percent_contribution"
"AOD",325,27.8015397775877
"Google Search",284,24.2942686056459
"Criteo",216,18.4773310521814
"Yahoo!",196,16.7664670658683
"Facebook",45,3.84944396920445
"Straits Times",41,3.50727117194183
"Forbes",15,1.28314798973482
"LinkedIn",15,1.28314798973482
"Twitter",13,1.11206159110351
"Business Times",7,0.598802395209581
"GSP",5,0.427715996578272
"Dianomi",4,0.342172797262618
"OutBrain",3,0.256629597946963
