Placement,New Placement, Spend (11 May to 31 Aug) - SGD ,Impression/Click,Channel,Brand/Tactical,Channel2,Search Approach - Brand/Compet/Generic,Media Objective,"Audience 
(Publisher v Exchange)",Prospect / Remarket,Format
Yahoo - Instream - Business - AU,Yahoo - Instream - Business - AU, TBC ,Click,Yahoo!,Brand,Yahoo! - Brand,,Content Marketing,Publisher,Prospect,Native
Yahoo - Instream - Business - Offer Content - AU,Yahoo - Instream - Business - Offer Content - AU, TBC ,Click,Yahoo!,Brand,Yahoo! - Brand,,Content Marketing,Publisher,Prospect,Native
Yahoo - Instream - Personal Finance - AU,Yahoo - Instream - Personal Finance - AU, TBC ,Click,Yahoo!,Brand,Yahoo! - Brand,,Content Marketing,Publisher,Prospect,Native
Yahoo - Instream - Personal Finance - Offer Content - AU,Yahoo - Instream - Personal Finance - Offer Content - AU, TBC ,Click,Yahoo!,Brand,Yahoo! - Brand,,Content Marketing,Publisher,Prospect,Native
YouTube Trueview Instream - Forbes Videos - AU,YouTube Trueview Instream - Forbes Videos - AU, TBC ,Click,YouTube,Brand,YouTube - Brand,,Content Marketing,Publisher,Prospect,Native
AOD - 3rd Party Audience - Affluent Investors,AOD - 3rd Party Audience - Affluent Investors, $820.90 ,Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display
AOD - Ad Exchange - Microsoft,AOD - Ad Exchange - Microsoft," $3,697.89 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display
AOD - Ad Exchange - Yahoo,AOD - Ad Exchange - Yahoo," $2,471.74 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display
"AOD - Affinity Segments - Interest in Luxury Shopping, Banking and Finance, in-market for Real Estate and Automotive","AOD - Affinity Segments - Interest in Luxury Shopping, Banking and Finance, in-market for Real Estate and Automotive", $606.43 ,Click,AOD,Tactical,AOD - Tactical,,Acquisition,Search,Prospect,Display
AOD - Keywords Targeting,AOD - Keywords Targeting," $2,660.45 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display
AOD - Programmatic -,AOD - Programmatic -, - ,Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display
AOD - Propecting - Mobile ROE,AOD - Propecting - Mobile ROE," $1,574.25 ",Click,AOD,Tactical,AOD - Tactical,,Acquisition,Exchange,Prospect,Display
