MCF Channel Grouping Path,Source/Medium Path,Conversions,Conversion Value
Direct,(direct) / (none),"2,674","SGD4,174,942.93"
Organic Search,google / organic,"1,551","SGD2,020,255.72"
Paid Search,google / cpc,"1,203","SGD1,632,761.10"
Direct > Direct,(direct) / (none) > (direct) / (none),"1,045","SGD1,651,869.90"
Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none),585,"SGD849,457.03"
Organic Search > Direct,google / organic > (direct) / (none),461,"SGD609,128.70"
Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),403,"SGD680,954.36"
Paid Search > Paid Search,google / cpc > google / cpc,301,"SGD399,088.45"
Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),278,"SGD421,377.43"
Organic Search,bing / organic,233,"SGD312,207.22"
Organic Search > Display,google / organic > dfa / cpm,208,"SGD289,307.66"
Paid Search,bing / cpc,206,"SGD266,652.09"
Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),206,"SGD330,093.45"
Organic Search > Direct > Direct,google / organic > (direct) / (none) > (direct) / (none),188,"SGD267,612.83"
Paid Search > Direct,google / cpc > (direct) / (none),174,"SGD231,144.15"
Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),133,"SGD201,029.25"
Organic Search,yahoo / organic,115,"SGD140,050.85"
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),108,"SGD204,715.30"
Organic Search > Direct > Direct > Direct,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),108,"SGD147,693.97"
Display (impression) > Direct,dbm / cpm (impression) > (direct) / (none),102,"SGD117,032.89"
Display (impression) > Direct,dfa / cpm (impression) > (direct) / (none),102,"SGD119,968.60"
Paid Search > Paid Search > Paid Search,google / cpc > google / cpc > google / cpc,91,"SGD117,193.47"
Referral,skyscanner.com.sg / referral,85,"SGD109,844.69"
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),79,"SGD134,404.56"
Direct > Paid Search,(direct) / (none) > google / cpc,70,"SGD97,392.03"
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),64,"SGD74,761.80"
Display (impression) > Organic Search,dfa / cpm (impression) > google / organic,64,"SGD93,945.08"
Paid Search > Direct > Direct,google / cpc > (direct) / (none) > (direct) / (none),62,"SGD95,827.46"
Display > Organic Search,dfa / cpm > google / organic,60,"SGD70,937.29"
Display (impression) > Organic Search,dbm / cpm (impression) > google / organic,58,"SGD95,311.35"
Display (impression) > Display (impression) > Direct,dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),56,"SGD87,465.14"
Display (impression) > Paid Search,dbm / cpm (impression) > google / cpc,54,"SGD55,920.00"
Paid Search > Organic Search,google / cpc > google / organic,53,"SGD62,357.10"
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),52,"SGD111,024.21"
Organic Search > Paid Search,google / organic > google / cpc,52,"SGD76,861.47"
Display (impression) > Display (impression) > Direct,dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none),50,"SGD66,920.24"
Display (impression) > Paid Search,dfa / cpm (impression) > google / cpc,49,"SGD52,386.53"
Paid Search > Paid Search > Paid Search > Paid Search,google / cpc > google / cpc > google / cpc > google / cpc,47,"SGD53,092.95"
Organic Search > Direct > Direct > Direct > Direct,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),47,"SGD72,104.06"
Organic Search > Display > Direct,google / organic > dfa / cpm > (direct) / (none),47,"SGD59,202.94"
Organic Search > Display > Display,google / organic > dfa / cpm > dfa / cpm,43,"SGD45,437.20"
Display (impression) > Direct > Direct,dbm / cpm (impression) > (direct) / (none) > (direct) / (none),42,"SGD43,716.80"
Organic Search > Direct,bing / organic > (direct) / (none),42,"SGD76,280.90"
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),39,"SGD43,570.50"
Display (impression) > Direct > Direct,dfa / cpm (impression) > (direct) / (none) > (direct) / (none),39,"SGD49,513.37"
Paid Search > Direct,bing / cpc > (direct) / (none),38,"SGD43,960.90"
Paid Search > Paid Search > Direct,google / cpc > google / cpc > (direct) / (none),37,"SGD48,536.34"
Display (impression) > Display (impression) > Organic Search,dbm / cpm (impression) > dbm / cpm (impression) > google / organic,37,"SGD36,457.20"
Paid Search > Direct > Paid Search,google / cpc > (direct) / (none) > google / cpc,36,"SGD51,316.56"
Direct > Organic Search,(direct) / (none) > google / organic,36,"SGD65,807.93"
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),35,"SGD68,363.46"
Referral,skyscanner.net / referral,35,"SGD27,136.60"
Display (impression) > Organic Search > Direct,dbm / cpm (impression) > google / organic > (direct) / (none),31,"SGD30,713.20"
Paid Search > Paid Search,bing / cpc > bing / cpc,30,"SGD42,206.90"
Direct > Display (impression) > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none),29,"SGD66,297.80"
Display (impression) > Direct > Direct > Direct,dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none),29,"SGD43,156.88"
Organic Search > Direct > Direct > Direct > Direct > Direct,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),29,"SGD34,162.73"
Direct > (unavailable),(direct) / (none) > hellobarv2 / saa,28,"SGD47,379.10"
Display (impression) > Display (impression) > Display (impression) > Direct,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),27,"SGD35,852.90"
Direct > (unavailable),(direct) / (none) > hellobarv1 / saa,26,"SGD46,845.10"
Direct > Display,(direct) / (none) > dfa / cpm,26,"SGD28,019.77"
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),25,"SGD37,025.84"
Display (impression) > Display (impression) > Display (impression) > Organic Search,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > google / organic,25,"SGD38,515.80"
Display (impression) > Display (impression) > Organic Search,dfa / cpm (impression) > dfa / cpm (impression) > google / organic,25,"SGD33,585.50"
Referral,moneydigest.sg / referral,25,"SGD25,595.90"
Display (impression) > Display (impression) > Direct > Direct,dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none),24,"SGD28,254.73"
Display (impression) > Display (impression) > Display (impression) > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none),23,"SGD32,988.80"
Direct > Display (impression) > Direct,(direct) / (none) > dbm / cpm (impression) > (direct) / (none),22,"SGD23,133.18"
Display (impression) > Display (impression) > Display (impression) > Organic Search,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > google / organic,22,"SGD20,742.10"
Paid Search > Direct > Direct > Direct,google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none),21,"SGD35,042.53"
Display (impression) > Direct > Direct > Direct,dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none),21,"SGD40,432.59"
Organic Search > Direct > Display,google / organic > (direct) / (none) > dfa / cpm,21,"SGD24,777.10"
Display (impression) > Display (impression) > Paid Search,dbm / cpm (impression) > dbm / cpm (impression) > google / cpc,20,"SGD28,640.70"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none),19,"SGD22,263.58"
Display > Direct,dfa / cpm > (direct) / (none),19,"SGD20,119.10"
Organic Search > Display > Direct > Direct,google / organic > dfa / cpm > (direct) / (none) > (direct) / (none),19,"SGD20,601.20"
Direct > Direct > Paid Search,(direct) / (none) > (direct) / (none) > google / cpc,18,"SGD21,153.42"
Direct > Organic Search > Direct,(direct) / (none) > google / organic > (direct) / (none),18,"SGD32,825.00"
Referral,silkair.com / referral,18,"SGD13,788.20"
Organic Search > (unavailable),google / organic > hellobarv2 / saa,18,"SGD25,579.80"
Organic Search > Direct,yahoo / organic > (direct) / (none),18,"SGD26,152.21"
Organic Search > Direct > Direct,bing / organic > (direct) / (none) > (direct) / (none),18,"SGD26,506.00"
Organic Search > Display > Direct > Display,google / organic > dfa / cpm > (direct) / (none) > dfa / cpm,18,"SGD35,441.30"
Direct > Organic Search > Display,(direct) / (none) > google / organic > dfa / cpm,17,"SGD23,537.40"
Direct > (unavailable) > Direct,(direct) / (none) > hellobarv2 / saa > (direct) / (none),16,"SGD27,923.20"
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),16,"SGD25,237.58"
Direct > Display (impression) > Display (impression) > Direct,(direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none),16,"SGD19,213.20"
Display (impression) > Direct > Direct > Direct > Direct > Direct,dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),16,"SGD26,819.40"
Display (impression) > Organic Search > Direct,dfa / cpm (impression) > google / organic > (direct) / (none),16,"SGD31,903.21"
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc,15,"SGD26,508.42"
Direct > Paid Search > Paid Search,(direct) / (none) > google / cpc > google / cpc,15,"SGD18,222.60"
Display (impression) > Direct > Direct > Direct > Direct,dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),15,"SGD33,715.50"
Display (impression) > Display (impression) > Direct,dbm / cpm (impression) > dfa / cpm (impression) > (direct) / (none),15,"SGD14,087.50"
Display (impression) > Display (impression) > Direct > Direct,dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none),15,"SGD26,040.00"
Display (impression) > Display (impression) > Display (impression) > Paid Search,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > google / cpc,15,"SGD21,999.50"
Display > Organic Search > Direct,dfa / cpm > google / organic > (direct) / (none),15,"SGD23,346.54"
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,google / cpc > google / cpc > google / cpc > google / cpc > google / cpc,14,"SGD24,209.50"
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),14,"SGD20,837.70"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none),14,"SGD15,451.06"
Display (impression) > Display (impression) > Paid Search,dfa / cpm (impression) > dfa / cpm (impression) > google / cpc,14,"SGD20,983.78"
Display (impression) > Referral,dfa / cpm (impression) > skyscanner.com.sg / referral,14,"SGD13,095.94"
Display (impression) > Organic Search > Direct > Direct,dfa / cpm (impression) > google / organic > (direct) / (none) > (direct) / (none),14,"SGD18,557.80"
Referral > Direct,skyscanner.com.sg / referral > (direct) / (none),14,"SGD15,964.40"
Organic Search > Direct > Direct > Direct > Direct > Direct > Direct,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),14,"SGD16,104.61"
Paid Search > Paid Search > Direct > Paid Search,google / cpc > google / cpc > (direct) / (none) > google / cpc,13,"SGD9,451.20"
Direct > (unavailable) > Direct > Direct,(direct) / (none) > hellobarv1 / saa > (direct) / (none) > (direct) / (none),13,"SGD22,176.20"
Direct > Direct > (unavailable),(direct) / (none) > (direct) / (none) > hellobarv2 / saa,13,"SGD21,470.90"
Direct > Display (impression),(direct) / (none) > dfa / cpm (impression),13,"SGD19,334.40"
Direct > Display (impression) > Direct > Direct,(direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none),13,"SGD15,321.10"
Direct > Display (impression) > Direct > Direct,(direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none),13,"SGD18,475.00"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),13,"SGD17,249.90"
Referral,outlook.live.com / referral,13,"SGD12,273.50"
Organic Search > Direct > Direct,yahoo / organic > (direct) / (none) > (direct) / (none),13,"SGD11,756.80"
Organic Search > Direct > Direct > Direct,bing / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),13,"SGD27,544.30"
Paid Search > Direct > Direct > Direct > Direct,google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),12,"SGD12,953.44"
Paid Search > Direct > Organic Search,google / cpc > (direct) / (none) > google / organic,12,"SGD9,839.40"
Paid Search > Paid Search > Organic Search,google / cpc > google / cpc > google / organic,12,"SGD28,088.90"
Paid Search > Organic Search > Display,google / cpc > google / organic > dfa / cpm,12,"SGD15,996.60"
Paid Search > Organic Search > Paid Search,google / cpc > google / organic > google / cpc,12,"SGD22,188.10"
Direct > (unavailable) > Direct,(direct) / (none) > hellobarv1 / saa > (direct) / (none),12,"SGD31,187.60"
Direct > Direct > Display (impression) > Direct > Direct,(direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none),12,"SGD15,492.03"
Display (impression) > Organic Search > Display,dfa / cpm (impression) > google / organic > dfa / cpm,12,"SGD20,968.18"
Organic Search > Direct,baidu / organic > (direct) / (none),12,"SGD18,995.40"
Organic Search > Display (impression),google / organic > dbm / cpm (impression),12,"SGD16,334.90"
Organic Search > Display (impression) > Direct,google / organic > dbm / cpm (impression) > (direct) / (none),12,"SGD14,783.20"
Organic Search > Paid Search > Direct,google / organic > google / cpc > (direct) / (none),12,"SGD17,340.70"
Direct > (unavailable),(direct) / (none) > hellobartestv1 / saa,11,"SGD12,165.45"
Direct > Display > Direct,(direct) / (none) > dfa / cpm > (direct) / (none),11,"SGD12,771.93"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none),11,"SGD15,701.13"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),11,"SGD23,200.34"
Paid Search > Paid Search > Direct > Direct,google / cpc > google / cpc > (direct) / (none) > (direct) / (none),10,"SGD13,870.40"
Direct > (unavailable) > Direct > Direct,(direct) / (none) > hellobarv2 / saa > (direct) / (none) > (direct) / (none),10,"SGD9,350.05"
Direct > Display (impression) > Display (impression) > Direct > Direct,(direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none),10,"SGD9,858.55"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),10,"SGD15,411.15"
Display (impression) > Paid Search > Paid Search,dfa / cpm (impression) > google / cpc > google / cpc,10,"SGD11,431.00"
Display (impression) > Organic Search > Display,dbm / cpm (impression) > google / organic > dfa / cpm,10,"SGD10,736.20"
Referral,kayak.sg / referral,10,"SGD19,547.28"
Organic Search > (unavailable),google / organic > hellobarv1 / saa,10,"SGD15,541.00"
Organic Search > Direct > Paid Search,google / organic > (direct) / (none) > google / cpc,10,"SGD18,639.80"
Organic Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),10,"SGD14,458.90"
Paid Search > Direct > Direct,bing / cpc > (direct) / (none) > (direct) / (none),9,"SGD14,364.20"
Direct > Direct > (unavailable) > Direct,(direct) / (none) > (direct) / (none) > hellobarv1 / saa > (direct) / (none),9,"SGD20,691.40"
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),9,"SGD14,089.50"
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),9,"SGD29,054.50"
Direct > Direct > Display,(direct) / (none) > (direct) / (none) > dfa / cpm,9,"SGD12,753.60"
Direct > Referral,(direct) / (none) > skyscanner.com.sg / referral,9,"SGD9,524.11"
Direct > Paid Search > Direct,(direct) / (none) > google / cpc > (direct) / (none),9,"SGD21,321.20"
Direct > Organic Search > Direct > Direct,(direct) / (none) > google / organic > (direct) / (none) > (direct) / (none),9,"SGD16,677.60"
Display (impression) > Display (impression) > Display (impression) > Direct > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none),9,"SGD16,988.98"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none),9,"SGD14,761.22"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none),9,"SGD18,870.40"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none),9,"SGD33,163.42"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Organic Search,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > google / organic,9,"SGD17,631.60"
Display (impression) > Display (impression) > Organic Search > Direct,dbm / cpm (impression) > dbm / cpm (impression) > google / organic > (direct) / (none),9,"SGD8,729.70"
Display > Organic Search > Display,dfa / cpm > google / organic > dfa / cpm,9,"SGD6,611.77"
Organic Search > Display > Display > Direct,google / organic > dfa / cpm > dfa / cpm > (direct) / (none),9,"SGD10,089.50"
Organic Search > Display > Display > Display,google / organic > dfa / cpm > dfa / cpm > dfa / cpm,9,"SGD7,547.90"
Organic Search > Organic Search,bing / organic > bing / organic,9,"SGD7,725.50"
Paid Search > Paid Search > Direct > Direct > Direct,google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none),8,"SGD7,786.10"
Paid Search > Paid Search > Paid Search,bing / cpc > bing / cpc > bing / cpc,8,"SGD4,807.10"
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc,8,"SGD17,912.38"
Direct > (unavailable) > Direct > Direct > Direct,(direct) / (none) > hellobarv2 / saa > (direct) / (none) > (direct) / (none) > (direct) / (none),8,"SGD14,995.60"
Direct > Direct > Display (impression) > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none),8,"SGD14,528.65"
Display (impression) > Direct > Direct > Direct > Direct,dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),8,"SGD9,415.60"
Display (impression) > Display (impression) > Direct > Direct,dbm / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none),8,"SGD21,957.60"
Display (impression) > Display (impression) > Direct > Direct > Direct,dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none),8,"SGD7,757.30"
Display (impression) > Display (impression) > Organic Search > Direct,dfa / cpm (impression) > dfa / cpm (impression) > google / organic > (direct) / (none),8,"SGD12,617.80"
Display (impression) > Paid Search > Direct,dfa / cpm (impression) > google / cpc > (direct) / (none),8,"SGD8,705.50"
Display (impression) > Organic Search > Direct > Direct,dbm / cpm (impression) > google / organic > (direct) / (none) > (direct) / (none),8,"SGD7,343.10"
Display > Organic Search > Paid Search,dfa / cpm > google / organic > google / cpc,8,"SGD11,038.90"
Paid Search > Display (impression) > Paid Search,google / cpc > dfa / cpm (impression) > google / cpc,7,"SGD13,824.80"
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Direct,google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none),7,"SGD3,444.00"
Paid Search > Paid Search > Organic Search > Display,google / cpc > google / cpc > google / organic > dfa / cpm,7,"SGD14,597.30"
Direct > Direct > Direct > (unavailable) > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > hellobarv2 / saa > (direct) / (none),7,"SGD15,008.70"
Direct > Direct > Direct > Display (impression) > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > dbm / cpm (impression) > (direct) / (none),7,"SGD8,400.60"
Email,eyap7interactbedm_morefare_dec16_edm / email,7,"SGD8,949.00"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct,dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none),7,"SGD9,761.79"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none),7,"SGD19,471.28"
Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Organic Search,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > google / organic,7,"SGD6,433.60"
Display > Direct > Direct,dfa / cpm > (direct) / (none) > (direct) / (none),7,"SGD7,621.50"
Referral,singpromos.com / referral,7,"SGD4,156.50"
Organic Search > Direct > Direct > Direct,yahoo / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),7,"SGD7,968.00"
Organic Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),7,"SGD9,234.40"
Organic Search > Paid Search > Organic Search,google / organic > google / cpc > google / organic,7,"SGD6,577.59"
Paid Search > Display (impression) > Paid Search,google / cpc > dbm / cpm (impression) > google / cpc,6,"SGD5,866.60"
Paid Search > Display > Organic Search,google / cpc > dfa / cpm > google / organic,6,"SGD3,632.20"
Direct > (unavailable),(direct) / (none) > hellobartestv2 / saa,6,"SGD5,752.82"
Direct > Direct > (unavailable),(direct) / (none) > (direct) / (none) > hellobarv1 / saa,6,"SGD10,141.80"
Direct > Direct > (unavailable) > Direct > Direct,(direct) / (none) > (direct) / (none) > hellobarv2 / saa > (direct) / (none) > (direct) / (none),6,"SGD21,435.63"
Direct > Direct > Direct > Direct > Display (impression) > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none),6,"SGD6,076.82"
Direct > Direct > Direct > Direct > Display,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm,6,"SGD8,792.82"
Direct > Direct > Direct > (unavailable),(direct) / (none) > (direct) / (none) > (direct) / (none) > hellobarv2 / saa,6,"SGD16,093.92"
Direct > Direct > Direct > Display (impression) > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none),6,"SGD4,613.80"
Direct > Direct > Paid Search > Direct,(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none),6,"SGD14,888.10"
Display (impression) > Display (impression) > Direct,dfa / cpm (impression) > dbm / cpm (impression) > (direct) / (none),6,"SGD6,437.23"
Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Direct,dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > (direct) / (none) > (direct) / (none),6,"SGD17,738.18"
