MCF Channel Grouping Path,Source/Medium Path,Conversions,Conversion Value
Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),1,"SGD1,491.80"
Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct,dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none),1,SGD844.50
Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Display > Paid Search > Paid Search,dbm / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm > google / cpc > google / cpc,1,SGD736.40
Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Direct > Direct,dbm / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none),1,SGD898.40
Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Referral > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Direct,dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > outlook.live.com / referral > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > (direct) / (none),1,SGD278.60
Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Referral > Display (impression) > Direct,dbm / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > kayak.com / referral > dfa / cpm (impression) > (direct) / (none),1,SGD419.30
Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Organic Search > Paid Search,dbm / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dbm / cpm (impression) > dfa / cpm (impression) > ask / organic > google / cpc,1,"SGD4,935.20"
Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Display (impression) > Referral > Direct,dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > moneydigest.sg / referral > (direct) / (none),1,"SGD1,554.00"
Display (impression) > Direct > Display (impression) > Display (impression) > Display (impression) > Referral > Display (impression) > Display (impression) > Referral > Display (impression) > Display (impression) > Referral > Display (impression) > Display (impression) > Display (impression) > Referral > Display (impression) > Display (impression) > Display (impression) > Direct > Display (impression),dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > skyscanner.com.sg / referral > dfa / cpm (impression) > dfa / cpm (impression) > skyscanner.com.sg / referral > dfa / cpm (impression) > dfa / cpm (impression) > skyscanner.com.sg / referral > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > skyscanner.com.sg / referral > dfa / cpm (impression) > dfa / cpm (impression) > dfa / cpm (impression) > (direct) / (none) > dfa / cpm (impression),1,"SGD2,043.80"
Display (impression) > Direct > Display (impression) > Referral > Display (impression) > Display (impression) > Direct > Referral > Direct,dfa / cpm (impression) > (direct) / (none) > dbm / cpm (impression) > singaporeairgames.com / referral > dbm / cpm (impression) > dbm / cpm (impression) > (direct) / (none) > krisflyerspree.com / referral > (direct) / (none),1,SGD319.87
